java MLSA,Commit ID,IsML,Bug Fix type,HasTD,TD Name
AffectiveTweets,2aa119e840e70022cbe411e64575daecae5e3a5f,1,Fix calculation,1,Validation Calculation
BoofCV,ea7c295ed1543956ff31d614520ef5191b1efff8,1,Fix initialization,1,Configuration debt
BoofCV,8a4ce40a2f30c0c60e9923bc6ae8418667f85894,0,,,
BoofCV,e06327f10f742aca9fa266828901187dacca5c5e,1,Fix data processing,1,Data preprocessing
BoofCV,28d3bd08e03d5db4f7b005c30ee3a9b386d725db,1,Unnecessary code removal,1,"Unnecessary model code"
BoofCV,ac2cba61abea2a41d77550cddd948612cd54725b,0,,,
BoofCV,b4d39a4410297571932952688f100bdebe9c12d7,1,Fix default value,1,Configuration debt
BoofCV,87a1d13f3e7831ccebedc019a1ed521cecaa9c48,1,Fix estimation,1,Validation Calculation
BoofCV,537dcbf46519388fa5b992c88e7ff5f4032ee51b,1,Fix value update,1,Parameter estimation
BoofCV,f975d7b05add018b2bfaea93b0824b53a72f221a,0,,,
BoofCV,c0bafdb79fce89993a8273954a9c9a5387586b03,0,,,
BoofCV,0c3d09725ef44821a39759d9eacb51d4163e572f,0,,,
BoofCV,dd36d386b7848f9cdd341459ac9e483c17acac91,0,,,
BoofCV,c258c9e501a5ef642e3ed281d85e84d92f45a831,1,Fix initialization,1,Configuration debt
BoofCV,a51232c280d7af8215d1c4ed9ea9953c9b54ee39,1,Fix Model setup,1,Data preprocessing
BoofCV,59b3a44d3d0ecbc6f4a9629bade9807dac014aa1,1,Fix calculation,1,Configuration debt
BoofCV,b576fbb5d9a99780d84d16c983f80dbb1b6946b6,1,Fix Model setup,1,Data preprocessing
BoofCV,a324c9705c29369ad709fe6a58bff8022e7f735a,0,,,
BoofCV,e363666838eb30ce62a2b748fc6c93f1b5beebd5,1,Fix initialization,1,Configuration debt
CoreNLP,b6503be9c0630a7e0563b2ee99bb1b66a2d2a4c0,1,Fix initialization,1,Configuration debt
CoreNLP,0b57e784358d0f004ff3eff9a5367f483faf024d,1,Fix Model setup,1,Model code styling
CoreNLP,ae6193d6e56688ef7a91fbf0e8fdfe542013507f,1,Fix Model setup,1,Hyperparameter tuning
CoreNLP,cb740fb45277664eb13dd1e4cae4c98485f88174,1,Fix calculation,1,Parameter estimation
CoreNLP,4a9d7457934350576e9e37a7f253066f4a5d3cce,1,Fix initialization,1,Configuration debt
CoreNLP,f5dfbb96c65b88d1eb2ec6b917bd0b8cc111450f,0,,,
CoreNLP,45ccabb9b0f8f4b32d7df00b477a4bdfb08354a7,0,,,
