Python MLSA,Commit ID,IsML,Bug Fix Type,Has TD,TD Name,,,,
Tpot,c36c13fc7eae08441a6c8eb059e2e7c58fc530ff,0,,0,,,,,
Tpot,e2eb3e7ed8047a59556c08244c9e7a82a33343bb,0,,0,,,,,
Tpot,a0836f59a732e531cf9e24ad2a813036b677531a,1,Fix value update,1,Configuration debt,,,,
Tpot,867244238f375d48150cdc861513de2d7cbefb26,0,,0,,,,,
Tpot,51cf0cd00f919fa01712b5c0e258557fcf556920,0,,0,,,,,
Tpot,f3d9477dee83f1bcf39bbf1f7efeb1ea442e40ab,0,,0,,,,,
Tpot,d1d10a05896e640dc4b6be99cdcff52e7ee006b6,0,,0,,,,,
Tpot,e058f3d8231928ba0d7a5ebe4ca8faf604adf33a,0,,0,,,,,
Tpot,ac595dc8bde67c2ece61c723ff7cd05db14adb6f,1,Fix value update,1,Configuration debt,,,,
Tpot,5620a7021632ceef90df8204df61ad456ca6aa27,1,Fix value update,1,Configuration debt,,,,
Tpot,0ab737f5ece1b818670902e09127b6b3be8421a7,0,,0,,,,,
Tpot,814a3a23e0aad442be789a68ceae596d26a963e0,0,,0,,,,,
Tpot,db54137efb8d92d328f7419bd435ff18c02448f2,0,,0,,,,,
Tpot,a6b58fb2bea1a01308fead13d0cfb6cc05672a37,1,Fix conditionals,1,Data preprocessing,,,,
Tpot,b119d82e1147f4469be4e26a4f68130f5ee487ec,1,Fix value update,0,,,,,
Tpot,c2f7e9e7059150ad028cc1fcc2b5d06b7925313b,0,,0,,,,,
Tpot,568f55db4e37ae0b791535f17912c0e82403ec51,1,Fix conditionals,1,Configuration debt,,,,
Tpot,9b8355fff35827ea2b15c2294830c06599de2129,1,Fix value update,1,Validation calculation,,,,
Tpot,e2dd67d82677fa5a630087399cd0d44444a3c025,1,Fix conditionals,1,Training code update,,,,
Tpot,2464f822d3b9c432e4de4d96136f0addc77861a9,0,,0,,,,,
Texar,f14545b290dc58186dcdfd915bd2ff40c9316bcc,1,Fix value update,1,Configuration debt,,,,
Texar,e9d94ff87f957b37a7dfe37b0013beedea6acb3d,1,Fix Model setup,1,Data preprocessing,,,,
Texar,4a046f02b7e5fd37a9ed4f7f51a6f55e01d1b737,0,,0,,,,,
Texar,f7900df34f14144ae13c1e27bbe39d3d84887f87,0,,0,,,,,
Texar,429183fdc75536dc6fd0adaaeb080eb8b3385b19,1,Fix calculation,1,Validation calculation,,,,
Texar,eb0434ca3c89686daf453e182c696e118a3698f1,1,Fix value update,1,Hyper parameter tuning,,,,
Texar,46eef1fbb858eb74dd6c7c0b8e0f8ada26d16c3b,0,,0,,,,,
Texar,1278eb09ff3daa376df0447e14afa4dc0f099ac4,1,Fix default value,1,Monitoring and testing,,,,
Texar,30a9b111c020f1e52487aa4a7a662f2826c0ccc0,1,Fix Model setup,1,Hyper parameter tuning,,,,
Texar,3f7194d4112eda9881f17c0cdfffcadc7be9ded4,1,Fix Model setup,1,Data preprocessing,,,,
Texar,fc976e237af7c2399b27b10b8a2ff3b67724b757,1,Fix conditionals,1,Data preprocessing,,,,
Texar,04a0c88b9c29c609f84e6bac333318a79d921bc0,1,Fix value update,1,Configuration debt,,,,
Texar,a67628c22372bcb8e26f6c920e4331fb66fb2565,0,,0,,,,,
Torchnlp,893512791a92bb332ee300612a1a152ed765368d,0,,0,,,,,
Torchnlp,34edeba51db7e6c265856eabd345eef506c4d670,0,,0,,,,,
Gentun,b85c7efd9675414a8f67cb47163802224f841a2e,1,Fix Model setup,1,Hyper parameter tuning,,,,
AstroML,30749fa62695c0ef0f61a9a8eec26967a5938e79,1,Fix library issue,1,Version Incompatibility,,,,
AstroML,f388923837f92a9de81b97898eadde495353331b,1,Fix library issue,1,Version Incompatibility,,,,
Chainercv,b77602350601018efc6fafa594601710e145e5b7,1,Fix value update,1,Training code update,,,,
Chainercv,e0f6744c9e17e0a28e4e2052b7a754875fc82f0b,1,Fix calculation,1,Validation calculation,,,,
